City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
151,bar harbor,1,US,1518558960,35,44.39,-68.2,23.0,8.43
152,sao filipe,36,CV,1518560280,95,14.9,-24.5,70.19,14.12
153,talnakh,36,RU,1518560665,73,69.49,88.39,-6.31,5.5
154,thompson,90,CA,1518559200,78,55.74,-97.86,14.0,8.05
155,cape town,40,ZA,1518555600,88,-33.93,18.42,69.8,13.87
156,riyadh,24,SA,1518555600,12,24.63,46.72,71.6,4.7
157,porirua,56,NZ,1518559200,68,-41.14,174.84,71.6,12.75
158,viedma,0,AR,1518561128,24,-40.81,-62.99,81.17,13.69
159,upernavik,0,GL,1518560261,100,72.79,-56.15,-4.69,8.75
160,klaksvik,0,FO,1518558600,92,62.23,-6.59,30.2,1.12
161,katsuura,20,JP,1518556800,79,33.93,134.5,28.4,8.05
162,abu samrah,8,SY,1518561129,83,35.3,37.18,48.59,12.01
163,camacha,20,PT,1518559200,67,33.08,-16.33,59.0,8.05
164,zhangye,76,CN,1518560930,70,38.94,100.46,12.28,3.6
165,weihe,56,CN,1518561130,88,32.99,105.33,24.42,2.06
166,yaan,20,NG,1518561131,92,7.38,8.57,73.79,8.1
167,anadyr,75,RU,1518557400,100,64.73,177.51,30.2,17.9
168,kodiak,1,US,1518555180,37,39.95,-94.76,50.0,17.22
169,yulara,90,AU,1518555600,94,-25.24,130.99,73.4,8.05
170,basco,1,US,1518560100,60,40.33,-91.2,39.2,6.93
171,half moon bay,1,US,1518558960,31,37.46,-122.43,64.4,6.93
172,harper,90,US,1518558900,87,30.3,-99.24,57.2,4.83
173,russell,0,AR,1518559200,27,-33.01,-68.8,87.8,5.82
174,tiruchchirappalli,0,IN,1518557400,88,10.82,78.68,73.4,4.7
175,krasnogorskoye,48,RU,1518560670,67,57.7,52.5,-0.69,2.82
176,suifenhe,64,CN,1518561135,64,44.39,131.16,2.82,2.39
177,mount isa,0,AU,1518557400,62,-20.73,139.49,84.2,5.82
178,lahaina,75,US,1518558960,78,20.87,-156.68,80.6,9.17
179,northglenn,1,US,1518560040,19,39.91,-104.99,60.8,16.11
180,sitka,12,US,1518560427,34,37.17,-99.65,58.76,16.35
181,kruisfontein,64,ZA,1518560609,86,-34.0,24.73,67.63,16.02
182,port-cartier,20,CA,1518559200,49,50.03,-66.88,-0.41,2.24
183,longyearbyen,40,NO,1518558600,73,78.22,15.63,21.2,13.87
184,miramar,0,CR,1518559200,47,10.09,-84.73,78.8,25.28
185,belaya gora,76,RU,1518561138,65,68.54,146.19,-14.46,7.2
186,laguna,90,MX,1518554700,33,27.52,-110.01,75.2,5.82
187,hami,88,CN,1518560252,82,42.84,93.51,19.88,2.59
188,bartica,75,GY,1518559200,88,6.41,-58.62,77.0,9.17
189,iskateley,68,RU,1518561140,93,67.68,53.15,22.4,14.14
190,cherskiy,20,RU,1518560230,70,68.75,161.3,-10.27,5.28
191,kavieng,44,PG,1518560419,100,-2.57,150.8,82.57,9.75
192,yar-sale,76,RU,1518560432,88,66.83,70.83,-0.15,12.33
193,alexandria,90,US,1518560100,77,31.31,-92.44,62.6,3.36
194,southbridge,1,US,1518558960,47,42.08,-72.03,35.6,10.29
195,hatillo,40,PR,1518558600,65,18.49,-66.83,77.0,20.8
196,kungurtug,32,RU,1518561046,45,50.6,97.53,-19.73,1.83
197,constitucion,90,MX,1518558480,23,23.99,-104.67,73.4,9.17
198,ikwiriri,92,TZ,1518561142,91,-7.96,38.99,77.3,2.73
199,stepnogorsk,88,KZ,1518561143,83,52.35,71.88,2.55,6.87
200,east london,92,ZA,1518560369,100,-33.02,27.91,72.53,16.58
201,rawson,8,AR,1518560893,24,-43.3,-65.11,90.13,18.03
202,san vicente,20,SV,1518558600,27,13.64,-88.78,100.4,10.29
203,nadym,64,RU,1518560834,76,65.53,72.51,0.08,9.64
204,bilibino,44,RU,1518561064,69,68.06,166.44,-6.59,3.4
205,khatanga,48,RU,1518560393,81,71.98,102.47,-4.42,9.42
206,nanortalik,0,GL,1518560384,100,60.14,-45.24,18.31,30.22
207,kloulklubed,90,PW,1518558840,94,7.04,134.26,78.8,4.7
208,victoria,75,BN,1518557400,94,5.28,115.24,77.0,3.36
209,luanda,48,AO,1518560938,87,-8.83,13.24,82.03,7.74
210,kristiansund,0,NO,1518558600,47,63.12,7.73,37.4,12.75
211,yagodnoye,76,RU,1518561148,64,62.52,149.63,-6.41,6.2
212,cururupu,88,BR,1518561148,100,-1.82,-44.87,72.84,1.95
213,la ronge,90,CA,1518559200,68,55.1,-105.3,30.2,11.41
214,barra do garcas,20,BR,1518561149,82,-15.89,-52.26,75.23,3.06
215,monkey bay,20,MW,1518561149,100,-14.08,34.91,80.36,7.76
216,mareeba,40,AU,1518557400,78,-16.99,145.42,78.8,6.93
217,sobolevo,76,RU,1518560714,92,54.43,31.9,15.11,10.2
218,aden,0,YE,1518561150,99,12.79,45.03,75.86,17.27
219,trinidad,0,UY,1518555600,26,-33.52,-56.9,82.4,4.38
